,Climate_Adaptation_Measures,Disaster_Risk_Reduction_Practices,Climate-Resilient_Crop_Varieties,Crop_Type,Soil_Type,Soil_Health_Index,Farm_Resilience_Index
3862,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,5.879760803974663,3.7743219055434296
3863,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,3.7056421588478368,2.885071375228061
3864,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,7.005336813841142,4.492441278539414
3865,Cover Cropping,Early Warning Systems,No,Rice,Clayey,6.805760531768468,6.461270511421901
3866,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,6.200393556444525,6.912520652902167
3867,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,2.0238554953978896,6.203859987682165
3868,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,5.292711019863501,9.892501467616981
3869,Cover Cropping,Early Warning Systems,No,Maize,Sandy,4.20604198740438,7.219811678456487
3870,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,5.4193462285431035,9.38367664837226
3871,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,9.296797919635233,2.0613987540565706
3872,Cover Cropping,Emergency Preparedness,Yes,Wheat,Clayey,5.324782088425675,1.5523563683213097
3873,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,1.1258271265556066,3.798952318107583
3874,Water Conservation,Early Warning Systems,No,Wheat,Loamy,4.949530642757178,2.2293004453878154
3875,Water Conservation,Early Warning Systems,No,Wheat,Sandy,8.385833620444439,5.732816754054409
3876,Water Conservation,Early Warning Systems,No,Wheat,Clayey,8.020548308963514,5.670831281709509
3877,Water Conservation,Emergency Preparedness,Yes,Rice,Clayey,5.620510661753629,6.175424497995551
3878,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,3.2479211157338375,7.707050927479655
3879,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,5.185797966230906,9.74196730191088
3880,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,6.0733199747637245,8.90432822295232
3881,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,9.998842944467205,2.0653051561802345
3882,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,6.797602811524396,4.046623198935915
3883,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,7.248384370563521,3.302407225432377
3884,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,5.423087292112467,2.591356220018135
3885,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,4.190405957042769,5.902523889902061
3886,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,8.316576852824854,5.979379618294574
3887,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,5.454390919053125,3.045203450992552
3888,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,9.952211169680726,7.407075252760169
3889,Water Conservation,Emergency Preparedness,No,Maize,Sandy,5.114085168412397,7.596228692525547
3890,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,1.6120025528281965,1.1888199535053998
3891,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,7.143203233810745,4.561819333500849
3892,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,1.4197730583322996,9.011265770814589
3893,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,3.2545143719623297,5.682867474194544
3894,Water Conservation,Early Warning Systems,No,Wheat,Loamy,4.18364427501913,4.128650212950949
3895,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,7.655352270591949,3.2830853643561713
3896,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,5.448123337668515,3.1901906792645405
3897,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,1.2578133817923094,1.897912304657257
3898,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,6.551648661483299,8.355037771837829
3899,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Sandy,4.702926136839961,1.779916648547541
3900,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,9.296510589703963,3.630652892756342
3901,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,5.496060800262119,1.4110816470971788
3902,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,7.380776313454051,8.032479127513305
3903,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,2.969816430965922,1.353553140041114
3904,Water Conservation,Emergency Preparedness,No,Wheat,Sandy,7.848762080784879,3.7747099348138757
3905,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,7.488597794353051,6.159676330779976
3906,Water Conservation,Early Warning Systems,No,Rice,Loamy,9.136735376871775,4.6860522426409945
3907,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,1.304394775472793,3.540439605241904
3908,Water Conservation,Early Warning Systems,No,Rice,Clayey,5.027506278557061,3.4767016518478746
3909,Water Conservation,Early Warning Systems,No,Wheat,Loamy,7.112398624656671,8.180112754056244
3910,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,1.8564751007219353,9.765802855785205
3911,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,4.695436604340212,4.13236963403914
3912,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,9.479319427595758,1.3523096224811488
3913,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,4.923410418020154,1.3290920011819758
3914,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,9.868643051325684,7.832920736896463
3915,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,1.5115515497183765,5.971328394482143
3916,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,7.460467985268021,8.052333916755973
3917,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,6.229146126234426,7.277473092597173
3918,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,5.504857094189129,9.167557143388569
3919,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Clayey,9.737626613365084,8.972418619419612
3920,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,2.1668536044201576,8.094946560590596
3921,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,9.06399056512822,5.276702440379293
3922,Cover Cropping,Early Warning Systems,Yes,Rice,Loamy,7.221163700229493,3.7731376684346722
3923,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,3.3309646596966944,5.563241087001759
3924,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,9.115022310690641,5.518644465878412
3925,Water Conservation,Early Warning Systems,No,Rice,Clayey,4.8636542607491196,6.4924799400040385
3926,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,8.328045952657638,2.6748781100461367
3927,Cover Cropping,Early Warning Systems,No,Maize,Sandy,4.4995286534266,6.900578924004899
3928,Cover Cropping,Early Warning Systems,No,Maize,Sandy,8.65837744689917,5.109408317852342
3929,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,6.729662066005438,6.581843487467733
3930,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,2.2694197022535443,3.156443406275911
3931,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,6.846968471225749,4.909554044896195
3932,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,2.7221028643168537,2.8918109300726824
3933,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,4.707303651047464,8.877746410811215
3934,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,2.5326602582683035,5.391649405373839
3935,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,1.1981450410040673,3.0248327401643094
3936,Water Conservation,Emergency Preparedness,No,Rice,Loamy,2.9069788550496174,1.3708782616739166
3937,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,5.827348213517132,7.0816479818818765
3938,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,5.3340487099961145,2.9318024259078013
3939,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,5.513473859824574,9.906239730869006
3940,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Loamy,3.229181906019412,5.803303360736544
3941,Cover Cropping,Early Warning Systems,No,Maize,Clayey,7.166450805527676,3.6007929662322886
3942,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Sandy,7.3383695813831125,6.9190969041336725
3943,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,4.22171043003699,3.47697931094277
3944,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,8.930530796267568,8.382468645187718
3945,Cover Cropping,Early Warning Systems,No,Wheat,Loamy,6.79620894971993,3.774124458369477
3946,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,7.417353477327686,9.894229591563183
3947,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,3.496059261450455,6.446303069007643
3948,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,1.0055047164002833,8.59970034048397
3949,Cover Cropping,Early Warning Systems,Yes,Wheat,Clayey,8.788380508918987,1.6553392262058
3950,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,8.401819461218277,4.134694756475694
3951,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,2.108726992385472,7.637383775495347
3952,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,4.366946214606759,6.895531156065244
3953,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,6.952053775497243,2.74818809290382
3954,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,6.868997714968554,4.205826374587389
3955,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,8.74315301327701,3.3709906673878685
3956,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,2.262413454718857,6.520331527856587
3957,Water Conservation,Emergency Preparedness,No,Wheat,Loamy,4.869457730066069,4.101114065128975
3958,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,1.875019761337823,3.781488178003148
3959,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,4.506357235947654,2.866401823927075
3960,Cover Cropping,Early Warning Systems,Yes,Maize,Loamy,1.1359670102893396,4.681244088231835
3961,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,9.084457585991142,2.7595233117689824
3962,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,5.7433959714581295,9.663126286398692
3963,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,8.648220347221184,2.390516303457731
3964,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Sandy,1.5391423090302738,9.219742434628987
3965,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Loamy,3.0471229942562856,4.856257883409238
3966,Water Conservation,Emergency Preparedness,Yes,Wheat,Sandy,3.3344199569906254,4.400793924055499
3967,Cover Cropping,Early Warning Systems,No,Rice,Clayey,4.480223451749092,3.0818782081436393
3968,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,8.225797351577915,6.721807009307672
3969,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,4.479020863583434,7.169752135097528
3970,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,2.841881766816943,5.208138660271757
3971,Water Conservation,Early Warning Systems,No,Maize,Sandy,1.5849123430489158,1.5013620612408172
3972,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,1.715425735174187,9.26659135619695
3973,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,7.840424853648797,9.82296219588743
3974,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,5.003226919329697,4.879390736906515
3975,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,7.535630098000137,6.5229472666839445
3976,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,7.140584095873278,5.0526876361937205
3977,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,2.21826215584232,3.8969168579750852
3978,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,2.2859914077304047,1.6958691357202687
3979,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,7.798078138907205,5.10460957357569
3980,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,7.491414641368755,8.365461007235064
3981,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,4.4022769018687935,1.1532831497920322
3982,Water Conservation,Early Warning Systems,Yes,Wheat,Sandy,1.6968003699955607,6.238969148622001
3983,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Sandy,1.10888219528607,8.9269489785402
3984,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,3.5934125451557035,2.957944870129222
3985,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,1.0830004622850424,2.6493027822015596
3986,Cover Cropping,Early Warning Systems,No,Rice,Loamy,3.0706535899333307,7.950489631317488
3987,Water Conservation,Emergency Preparedness,Yes,Maize,Loamy,4.775506661902047,3.29577788007364
3988,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,2.0927418878075876,2.727858408045836
3989,Drought-Resistant Crops,Early Warning Systems,No,Rice,Loamy,1.9384998204839161,4.401903255123115
3990,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,9.067936921468629,4.532518110431962
3991,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,6.269230261206003,8.866909567149094
3992,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,9.410101180865032,6.565991247403092
3993,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,4.112435474071113,4.653653107056304
3994,Water Conservation,Early Warning Systems,No,Wheat,Loamy,7.094304435962468,5.809491678571901
3995,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.8422250715961135,9.585687099927467
3996,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,6.5650628555194706,2.0189320894890583
3997,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,2.16627157008986,2.8694396955222228
3998,Cover Cropping,Early Warning Systems,No,Maize,Sandy,1.0187257525865718,9.662758359278998
3999,Water Conservation,Early Warning Systems,Yes,Wheat,Loamy,9.38378621268621,9.615923636744837
4000,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,5.994049385576884,2.594488791382954
4001,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,9.342465965038356,2.305979354127684
4002,Water Conservation,Early Warning Systems,No,Rice,Clayey,4.004483713318648,4.7897662090475785
4003,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Sandy,3.950074622455811,1.447464632391722
4004,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,4.605895015957286,6.894131790566261
4005,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,7.354368855623514,1.6974641949556797
4006,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,6.092277707675568,1.5222666438485266
4007,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,9.32819416389206,5.3666824258796435
4008,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Loamy,1.2289681101919543,9.620079724990914
4009,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Clayey,7.373763441752828,4.841163424568436
4010,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,3.972949204298989,4.20833042794496
4011,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,2.6221028663661508,9.981610439520573
4012,Water Conservation,Emergency Preparedness,Yes,Wheat,Clayey,5.59356060268089,5.787720647012651
4013,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,5.545574057619964,4.377172662012237
4014,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,2.2330992581958555,4.472747320074417
4015,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Sandy,2.817064505196009,2.7546354643015944
4016,Water Conservation,Early Warning Systems,No,Rice,Clayey,4.6734819841139945,5.61000751702785
4017,Water Conservation,Early Warning Systems,No,Wheat,Loamy,4.679302711530838,4.949695253512052
4018,Drought-Resistant Crops,Early Warning Systems,No,Maize,Clayey,3.8580232565771624,3.4371576671267206
4019,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.3369063635898284,2.444860779415838
4020,Water Conservation,Early Warning Systems,No,Wheat,Sandy,1.0393631119088158,3.8011498180079832
4021,Water Conservation,Early Warning Systems,No,Wheat,Clayey,9.732115561852185,5.578149949189563
4022,Water Conservation,Early Warning Systems,Yes,Rice,Sandy,9.491493067335343,1.524999450563215
4023,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,5.352853412585216,2.383696257255604
4024,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,9.955465779475052,9.528915402721859
4025,Water Conservation,Early Warning Systems,No,Wheat,Clayey,7.062888977040189,5.88569815928205
4026,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,1.6197178384678739,1.5710437329403408
4027,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,2.0594637917436462,7.237789828926156
4028,Cover Cropping,Emergency Preparedness,Yes,Maize,Clayey,9.244997594826739,1.5562258307113126
4029,Cover Cropping,Early Warning Systems,No,Rice,Clayey,6.670469819346656,7.6498680434173565
4030,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,8.58865263991616,7.749664495480242
4031,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,9.084426846704599,6.859710781743274
4032,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,5.031478101541475,7.5898409015741475
4033,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Loamy,1.4367335641902375,1.7916920291175198
4034,Cover Cropping,Early Warning Systems,No,Rice,Sandy,2.694523140075898,7.541024971197409
4035,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,1.5991475257219159,2.2301948775149465
4036,Water Conservation,Early Warning Systems,No,Wheat,Sandy,2.698658611286566,4.055553165446595
4037,Water Conservation,Early Warning Systems,No,Wheat,Clayey,4.694796338102892,9.484707281505695
4038,Water Conservation,Emergency Preparedness,No,Rice,Loamy,2.063771294634869,5.525879298932261
4039,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Loamy,2.5005992302480893,9.706837888747124
4040,Cover Cropping,Emergency Preparedness,Yes,Rice,Loamy,5.012396038645113,1.800302129980638
4041,Cover Cropping,Emergency Preparedness,No,Maize,Sandy,4.061538553496406,5.298009396068621
4042,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,5.208923117692369,1.5616208824918358
4043,Water Conservation,Early Warning Systems,No,Wheat,Clayey,4.862548249831558,6.671892361593563
4044,Cover Cropping,Early Warning Systems,No,Maize,Clayey,6.800302233818951,1.7083630123166476
4045,Water Conservation,Early Warning Systems,Yes,Rice,Clayey,9.43470593988269,2.578310222863396
4046,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,1.9707790459981824,3.3294727906235244
4047,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,1.8933413437827542,7.738694664980349
4048,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,8.675254999818119,2.4756590693626728
4049,Cover Cropping,Early Warning Systems,No,Wheat,Sandy,5.5575703418721325,8.61968847963761
4050,Water Conservation,Early Warning Systems,Yes,Wheat,Clayey,7.89764521211598,2.187135449477208
4051,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Clayey,2.938797132465533,1.317200041631407
4052,Water Conservation,Early Warning Systems,Yes,Maize,Clayey,8.459763158507965,4.555408770727011
4053,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,9.314619617734262,9.814974777741655
4054,Water Conservation,Emergency Preparedness,No,Maize,Clayey,6.719347139918394,1.9930800500989951
4055,Cover Cropping,Early Warning Systems,No,Rice,Loamy,1.95291119326422,1.9154659963566614
4056,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,9.05765332740705,7.760498597160615
4057,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,8.132389546330643,3.809455245942088
4058,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,7.757899988630409,7.455534555031452
4059,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,1.33055370015324,2.80009530499027
4060,Water Conservation,Emergency Preparedness,Yes,Maize,Sandy,8.190662727312741,5.140647947783466
4061,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,2.241559094215213,3.387608899740261
4062,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Sandy,3.0014755857719955,5.063753933911782
4063,Water Conservation,Emergency Preparedness,No,Maize,Clayey,6.194213513823318,7.921873833267734
4064,Cover Cropping,Early Warning Systems,Yes,Wheat,Loamy,3.3848269562519473,7.858089464298955
4065,Drought-Resistant Crops,Early Warning Systems,No,Rice,Clayey,6.9521338568072775,5.641950589063512
4066,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Clayey,6.472634029291735,9.35534659348946
4067,Cover Cropping,Early Warning Systems,Yes,Maize,Clayey,1.9733463821193635,3.374056922034466
4068,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,6.904131216323557,3.1628021600730976
4069,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,9.31559418842437,6.524257610578903
4070,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,2.449989146672498,6.591673307951101
4071,Cover Cropping,Emergency Preparedness,No,Wheat,Sandy,6.373558188485987,1.418860356084766
4072,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,4.076788347430247,6.469999411482078
4073,Cover Cropping,Early Warning Systems,No,Maize,Sandy,5.136505045962435,4.369925416141129
4074,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,3.583001611710729,7.726982727885032
4075,Drought-Resistant Crops,Emergency Preparedness,No,Rice,Sandy,4.187175727129257,8.272950980907456
4076,Water Conservation,Emergency Preparedness,No,Maize,Loamy,1.2602064093990155,5.96938437592333
4077,Cover Cropping,Early Warning Systems,No,Rice,Sandy,9.833965641254986,1.0153452835203858
4078,Cover Cropping,Emergency Preparedness,No,Rice,Loamy,6.623199298654734,6.727292291499778
4079,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Loamy,5.506350314444967,7.739931516993408
4080,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,4.453438145502941,3.240849396083628
4081,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,5.8543710294162485,5.181814010267099
4082,Water Conservation,Early Warning Systems,No,Maize,Sandy,4.4209539884422355,9.691539610706094
4083,Water Conservation,Early Warning Systems,No,Maize,Clayey,4.23917134744306,3.683039980546931
4084,Drought-Resistant Crops,Early Warning Systems,No,Maize,Loamy,5.175518875498118,3.008379259375667
4085,Cover Cropping,Early Warning Systems,Yes,Wheat,Sandy,3.4838473030407173,2.897693114302091
4086,Cover Cropping,Emergency Preparedness,Yes,Rice,Clayey,2.620449099701069,6.029207509185967
4087,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,6.009453083622642,9.548083911772059
4088,Water Conservation,Early Warning Systems,No,Maize,Clayey,8.58488892535271,6.478211162803192
4089,Drought-Resistant Crops,Early Warning Systems,Yes,Maize,Clayey,2.3754535995330306,3.7299080821389397
4090,Cover Cropping,Emergency Preparedness,Yes,Wheat,Sandy,1.2946090654379678,6.747128002607087
4091,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Sandy,3.2213057063863255,6.623580678380087
4092,Water Conservation,Emergency Preparedness,Yes,Maize,Clayey,9.817485791084298,6.372326221566888
4093,Cover Cropping,Early Warning Systems,No,Rice,Sandy,8.458822663690054,2.434835861994718
4094,Cover Cropping,Early Warning Systems,Yes,Maize,Sandy,6.362794481757369,6.711101194104947
4095,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,9.363240237188224,4.871480072630497
4096,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,5.007512051535202,1.1673285276073004
4097,Drought-Resistant Crops,Early Warning Systems,No,Maize,Sandy,9.849525423176566,5.857880384327457
4098,Cover Cropping,Early Warning Systems,No,Rice,Loamy,3.6667184060735565,9.903400706965758
4099,Water Conservation,Emergency Preparedness,No,Maize,Sandy,3.162751745643452,4.147656317595851
4100,Cover Cropping,Emergency Preparedness,Yes,Maize,Loamy,6.742433810323099,9.690032964867925
4101,Water Conservation,Early Warning Systems,No,Maize,Clayey,4.403385711553243,1.865851674963351
4102,Drought-Resistant Crops,Early Warning Systems,No,Wheat,Loamy,6.63728987778632,7.592051042805756
4103,Water Conservation,Early Warning Systems,No,Wheat,Clayey,3.7449596647241723,2.028969951965518
4104,Drought-Resistant Crops,Early Warning Systems,No,Rice,Sandy,6.56126431154192,3.4621441619974673
4105,Water Conservation,Early Warning Systems,Yes,Maize,Sandy,3.4817163452653275,6.13756751789912
4106,Cover Cropping,Emergency Preparedness,No,Wheat,Loamy,1.4587486193700094,6.33501724579074
4107,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,9.20922311730865,7.976901855107541
4108,Cover Cropping,Early Warning Systems,No,Maize,Sandy,8.94884681686116,6.537802665046954
4109,Cover Cropping,Early Warning Systems,No,Rice,Loamy,9.737183343454047,6.342532339425047
4110,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,7.448744585992642,9.211177782902245
4111,Drought-Resistant Crops,Emergency Preparedness,Yes,Rice,Loamy,7.144490599617726,5.069446769882415
4112,Cover Cropping,Early Warning Systems,Yes,Rice,Sandy,6.031027630673477,3.0273920082554953
4113,Cover Cropping,Emergency Preparedness,No,Rice,Clayey,2.133481747172704,2.456097265212672
4114,Cover Cropping,Emergency Preparedness,Yes,Rice,Sandy,2.7031177985434303,4.599951371285498
4115,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,3.605227198052826,7.414774796743262
4116,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Clayey,9.01140726316055,1.382891364369108
4117,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Loamy,2.556725721427676,2.161480478584655
4118,Cover Cropping,Emergency Preparedness,No,Rice,Sandy,9.305858570391015,1.9550211409327547
4119,Water Conservation,Early Warning Systems,Yes,Maize,Loamy,5.705071597462755,6.267251377463129
4120,Water Conservation,Emergency Preparedness,Yes,Rice,Loamy,7.440126719257649,3.1857818547813963
4121,Drought-Resistant Crops,Emergency Preparedness,No,Maize,Clayey,1.9922003801250987,2.4963348547125683
4122,Cover Cropping,Early Warning Systems,No,Wheat,Clayey,3.421301938983198,6.334936477687201
4123,Cover Cropping,Early Warning Systems,No,Rice,Clayey,9.626667473632837,7.8517892390714135
4124,Drought-Resistant Crops,Early Warning Systems,Yes,Wheat,Loamy,3.3953495223675825,3.9893942480739795
4125,Water Conservation,Early Warning Systems,Yes,Rice,Loamy,3.668695483520315,6.203841451089366
4126,Water Conservation,Emergency Preparedness,Yes,Rice,Sandy,2.7783764635697152,1.8831197187951418
4127,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,2.1616629877614657,9.41671927411813
4128,Drought-Resistant Crops,Emergency Preparedness,Yes,Wheat,Clayey,3.0993187730859817,4.032065667832955
4129,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,6.7809420275571854,9.977551238561512
4130,Drought-Resistant Crops,Early Warning Systems,Yes,Rice,Clayey,5.098309601532072,9.80728980264804
4131,Drought-Resistant Crops,Emergency Preparedness,No,Wheat,Clayey,5.983802527041087,8.009411044022304
4132,Cover Cropping,Emergency Preparedness,Yes,Wheat,Loamy,2.1012834588942186,1.1806038586627006
4133,Water Conservation,Early Warning Systems,No,Maize,Clayey,8.219048024466101,5.8912742834592695
4134,Drought-Resistant Crops,Emergency Preparedness,Yes,Maize,Sandy,8.056852305218632,1.7815277839601036
4135,Water Conservation,Emergency Preparedness,Yes,Wheat,Loamy,1.1943092002840785,9.056242233653645
4136,Water Conservation,Emergency Preparedness,No,Wheat,Clayey,4.451635850592744,8.106726273826627
